Key,ID,Type,Layer,X,Y
0,0,ellipse,1,736.0,275.0,100.0,100.0,purple,<Surface(1536x841x32 SW)>,"(686.0, 225.0, 100.0, 100.0)","(786.0, 205.0, 20, 20)"
1,1,arc,2,0,0,274.0,380.0,463.0,377.0,368.5,378.5,cyan,<Surface(1536x841x32 SW)>,"(274.0, 380.0, 463.0, 377.0)","(264.0, 370.0, 20, 20)","(453.0, 367.0, 20, 20)","(358.5, 368.5, 20, 20)",True,True,0,0,0
2,2,arc,3,0,0,287.0,485.0,460.0,484.0,373.5,484.5,cyan,<Surface(1536x841x32 SW)>,"(287.0, 485.0, 460.0, 484.0)","(277.0, 475.0, 20, 20)","(450.0, 474.0, 20, 20)","(363.5, 474.5, 20, 20)",True,True,0,0,0
3,3,arc,4,0,0,282.0,613.0,479.0,612.0,380.5,612.5,cyan,<Surface(1536x841x32 SW)>,"(282.0, 613.0, 479.0, 612.0)","(272.0, 603.0, 20, 20)","(469.0, 602.0, 20, 20)","(370.5, 602.5, 20, 20)",True,True,0,0,0
4,4,arc,5,0,0,503.0,112.0,1070.0,109.0,786.5,110.5,cyan,<Surface(1536x841x32 SW)>,"(503.0, 112.0, 1070.0, 109.0)","(493.0, 102.0, 20, 20)","(1060.0, 99.0, 20, 20)","(776.5, 100.5, 20, 20)",True,True,0,0,0
5,5,arc,6,0,0,1069.0,115.0,1454.0,580.0,1349.5,203.0,cyan,<Surface(1536x841x32 SW)>,"(1069.0, 115.0, 1454.0, 580.0)","(1059.0, 105.0, 20, 20)","(1444.0, 570.0, 20, 20)","(1339.5, 193.0, 20, 20)",True,False,5.9783461135436,1.6879532897108425,0.8456382285711352
6,6,arc,7,0,0,1050.0,208.0,1324.0,583.0,1278.9999,348.0,cyan,<Surface(1536x841x32 SW)>,"(1050.0, 208.0, 1324.0, 583.0)","(1040.0, 198.0, 20, 20)","(1314.0, 573.0, 20, 20)","(1268.9999, 338.0, 20, 20)",True,False,6.081327141752643,1.46388319523043,0.580257007448296
7,7,arc,8,0,0,1273.0,656.0,1431.0,655.0,1352.0,655.5,cyan,<Surface(1536x841x32 SW)>,"(1273.0, 656.0, 1431.0, 655.0)","(1263.0, 646.0, 20, 20)","(1421.0, 645.0, 20, 20)","(1342.0, 645.5, 20, 20)",True,True,0.26303267251882745,1.4337226908244596,0.6936723635690134
8,8,rectangle,9,1357.0,690.0,157,61,green,<Surface(1536x841x32 SW)>,"(1278.5, 659.5, 157, 61)","(1435.5, 639.5, 20, 20)"
9,9,arc,10,0,0,464.0,798.0,694.0,798.0,579.0,798.0,cyan,<Surface(1536x841x32 SW)>,"(464.0, 798.0, 694.0, 798.0)","(454.0, 788.0, 20, 20)","(684.0, 788.0, 20, 20)","(569.0, 788.0, 20, 20)",True,True,0.24457790950639144,1.4797618556430183,0.6476332208704728
10,10,arc,11,0,0,695.0,708.0,695.0,799.0,695.0,753.5,cyan,<Surface(1536x841x32 SW)>,"(695.0, 708.0, 695.0, 799.0)","(685.0, 698.0, 20, 20)","(685.0, 789.0, 20, 20)","(685.0, 743.5, 20, 20)",True,True,0.1534439175645788,1.5348636919163503,0.5925314136010701
